title,posted_by,posted,send_before,budget,desc,tags,url
Software developer for Medical Imaging,Geetha M,23 hrs ago,"Apr 17, 2020",Fixed Price,We are looking for a software developer experienced in the field of Medical Imaging and the profile requirement would be :1  C++ with framework QT and/ or C#  under .netData base Postgre or (MySQL)Kno…,"C++, JavaScript, MySQL, CSS, C#, .NET, HTML5",https://www.guru.com/jobs/software-developer-for-medical-imaging/1641117&SearchUrl=search.aspx?
Python/JavaScript expert,Chris G. V,on Mar 16,"Apr 15, 2020",Hourly | $5 - $20,"We are looking for a full-stack developer that is competent in:- Python (Django, Flask frameworks)- MySQL or Postgres (should have good DB skills)- Javascript (at least one of Vue, React, Angular expe…","JavaScript, MySQL, Python, Django, Web Development, Web Servers, Front End Development, AngularJS, Graphics / Rich Media / Interactive",https://www.guru.com/jobs/python-javascript-expert/1640408&SearchUrl=search.aspx?
Expo.io Snack Bug,Jason W,on Mar 15,"Apr 14, 2020",Fixed Price or Hourly,"I have a simple test Expo.io snack which works in web view, but fails on iOS and Android. I'm looking for someone to get it working on iOS and Android. I want it to remain with Expo v36.0.0 and ReactN…",React Native,https://www.guru.com/jobs/expo.io-snack-bug/1640280&SearchUrl=search.aspx?
Python Flask Engineer For LMS App Update,Larby A,on Mar 15,"Apr 14, 2020",Fixed Price | Under $250,We are looking for an experienced Python Engineer to add additional features to a cognitive testing application. It was written by a Junior level Python developer and the front end is in React Js (wri…,"Python, React",https://www.guru.com/jobs/python-flask-engineer-for-lms-app-update/1640212&SearchUrl=search.aspx?
Create webpages in React,Stefania P,on Mar 11,"Apr 10, 2020",Fixed Price | Under $250,"I'm looking for a React developer who can build out the layout of a web app. The application has already been started using create react app, so you will have a starting point.What needs to be done: 1…","JavaScript, Web Development, Responsive Web Design",https://www.guru.com/jobs/create-webpages-in-react/1639414&SearchUrl=search.aspx?
Looking solo react native developer,Suyadi S,on Mar 10,"Apr 09, 2020",Fixed Price,We are looking a solo react native developer who have storybook experience.This role is just to rebuild current react native app with storybook.There are about 7 pages including login and setting page…,"Software Development, App Development, React Native, App & Mobile Programming Languages",https://www.guru.com/jobs/looking-solo-react-native-developer/1639054&SearchUrl=search.aspx?
Seasoned React and Nodejs developer.,Sean K,on Mar 10,"Apr 09, 2020",Fixed Price or Hourly,We're looking for an experienced React.js/NodeJS developer to help us to complete a PWA app which is almost built. Now we just need you to add functions to handle some urgent problems very quickly.- M…,"JavaScript, GitHub, Node.js, ReactJS, React Native",https://www.guru.com/jobs/seasoned-react-and-nodejs-developer./1638908&SearchUrl=search.aspx?
Mobile developer needed!,Naresh V,on Mar 10,"Apr 09, 2020",Fixed Price | Under $250,"Need mobile application of this kind: https://www.whatztrack.com/The reference link is self explanatory and here i will provide you with the backend code ie, Python API, you just need to design UI, da…","Python, Database Development, Design, Mobile Development, React Native, App & Mobile Programming Languages",https://www.guru.com/jobs/mobile-developer-needed-/1638870&SearchUrl=search.aspx?
Engineer,Brian D,on Mar 09,"Apr 08, 2020",Fixed Price | $500-$1k,Create react views for a web application.  We have sketch files.  Just need them converted into react views.,Front End Development,https://www.guru.com/jobs/engineer/1638737&SearchUrl=search.aspx?
"Python (Flask,django) + Javascript",David L,on Mar 09,"Apr 08, 2020",Hourly | $20 - $40,"### PLEASE READ THE FULL POST -- FAILURE TO DO SO WILL RESULT IN IMMEDIATE DISQUALIFICATION ###We are looking for a full-stack developer that is competent in:- Python (Django, Flask frameworks)- MySQL…","JavaScript, MySQL, Python, Django, Parsing / Data Extraction",https://www.guru.com/jobs/python-flask-django-javascript/1638530&SearchUrl=search.aspx?
Ruby on Rails blog site development,Liu C,on Mar 09,"Apr 08, 2020",Fixed Price | $500-$1k,I want talented RoR full stack developer who can help me.,"",https://www.guru.com/jobs/ruby-on-rails-blog-site-development/1638576&SearchUrl=search.aspx?
React and Node JS developer needed,Sean K,on Mar 08,"Apr 07, 2020",Fixed Price or Hourly,"We have a large enterprise company based in New York and Looking for full-stack JavaScript Developers for Large Project with React js and Node js experienced. It would be great additional expertise in  MEAN, MERN Stack.","JavaScript, SAP ABAP, Salesforce, Node.js, Software Development, Zoho CRM, Zoho, ReactJS, Odoo, Bitrix24, React Native",https://www.guru.com/jobs/react-and-node-js-developer-needed/1638487&SearchUrl=search.aspx?
Build a Cryptocurrency App by React,Frankie C,on Mar 07,"Apr 06, 2020",Fixed Price | $5k-$10k,1. Develop by react native and php2. include frontend and backend3. you need generate apk and ios for me4. assistant to compile and fix bug via teamviewer on my pc5. looking experience react native de…,"App Development, Cryptocurrency, React Native, App & Mobile Programming Languages, General / Other Apps & Mobile, Mobile Device Platforms",https://www.guru.com/jobs/build-a-cryptocurrency-app-by-react/1638157&SearchUrl=search.aspx?
Apple iOS React Native dev,Jared V,on Mar 06,"Apr 05, 2020",Fixed Price,"We are looking for an experienced Apple iOS dev with React Native, Swift, Xcode with at least 2+ years of experience. The job will be part-time, 20 hours per week. You'll be assigned JIRA tickets to w…","Xcode, GitHub, Software Development, React Native",https://www.guru.com/jobs/apple-ios-react-native-dev/1638042&SearchUrl=search.aspx?
Need help running React Native v55 app,Justin k,on Mar 05,"Apr 04, 2020",Hourly | $10 - $15,"Hi I am having trouble running a React Native app for a client that was built a couple years ago and running version 55 and an older version of Xcode.  I get almost all the way to the build phase, but…",React Native,https://www.guru.com/jobs/need-help-running-react-native-v55-app/1637722&SearchUrl=search.aspx?
Fix bugs and Update - React Native,Sergiu L,on Mar 05,"Apr 04, 2020",Fixed Price | $500-$1k,"I am looking for an expert in React Native to help me to fix and update my mobile app offering.I am looking for a lead with experience in React Native, Expo, and GraphQL.  Can you please outline your …","Mobile App Development, React Native, App & Mobile Programming Languages",https://www.guru.com/jobs/fix-bugs-and-update-react-native/1637666&SearchUrl=search.aspx?
