title,posted,rate,proposals,url
French - English Copy Writing,1 day ago,$100,30,https://www.peopleperhour.com/freelance-jobs/translation/french/french-english-copy-writing-2761188
I need a copy writing and flyer design.,3 weeks ago,$200,39,https://www.peopleperhour.com/freelance-jobs/design/other/i-need-a-copy-writing-and-flyer-design-2732765
Website Copywriting,13 hours ago,$26/hr,17,https://www.peopleperhour.com/freelance-jobs/writing/website-content/website-copywriting-2761693
Looking for someone that good write copy for websites.,4 weeks ago,$712,44,https://www.peopleperhour.com/freelance-jobs/writing/other/looking-for-someone-that-good-write-copy-for-websites-2730397
Copy writing for legal website,4 weeks ago,$37/hr,20,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/copy-writing-for-legal-website-2728266
Copy For Virtual Assistant Website,2 days ago,$77,26,https://www.peopleperhour.com/freelance-jobs/writing/website-content/copy-for-virtual-assistant-website-2760163
Write a Screenplay,3 days ago,$142,12,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/write-a-screenplay-2759307
Advertorial & Content writing,1 hour ago,$$,28,https://www.peopleperhour.com/freelance-jobs/writing/website-content/advertorial-content-writing-2758420
Policy writing,6 days ago,$30,22,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/policy-writing-2755469
Seasoned Copywriter,1 week ago,$237,32,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/seasoned-copywriter-2754416
I need someone to write content on my web pages.,5 days ago,$25,31,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-someone-to-write-content-on-my-web-pages-2756518
Crowdfunding writing expert,6 days ago,$119,8,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/crowdfunding-writing-expert-2756329
Script  Writing,2 weeks ago,$25,11,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/script-writing-2748048
Content Writing,2 weeks ago,$18,28,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/content-writing-2748769
